doy,theta_start_deg,theta_end_deg,theta_start_raw_deg,theta_end_raw_deg,n_samples_start,n_samples_end,n_years
136,-1.2764911424410428,-0.9091522008035126,-1.2325582723260196,-1.0076299305512704,105,105,6
137,-1.269917869826973,-0.9053200085175098,-1.1984680789639115,-1.0424979781966364,106,107,6
138,-1.263472522282446,-0.9013909490865477,-1.1984680789639115,-1.0424979781966364,106,107,6
139,-1.2571634789536223,-0.8973696990537808,-1.1984680789639115,-1.0424979781966364,106,107,6
140,-1.2509989482337651,-0.8932609542832056,-1.1984680789639115,-1.117394380209718,106,107,6
141,-1.2449869578603185,-0.8890694244374964,-1.2294529245687378,-1.117394380209718,107,107,6
142,-1.2391353452279694,-0.8847998274659046,-1.2279002506900971,-1.1571158297278281,108,108,6
143,-1.233451747929177,-0.8804568841087053,-1.2115517187252893,-1.1554840878513535,109,109,6
144,-1.2279435945333883,-0.8760453124246504,-1.2467794817219735,-1.1538523459748788,110,110,6
145,-1.222618095615869,-0.8715698223478519,-1.2803810797836397,-1.1522206040984042,111,111,6
146,-1.2174822350467915,-0.8670351102804756,-1.326719719823998,-1.1166560528280398,112,112,6
147,-1.2125427615509075,-0.8624458537275783,-1.377844980938623,-1.1119395100975753,113,113,6
148,-1.207806180547815,-0.8578067059803599,-1.3744015745034355,-1.1072229673671108,114,114,6
149,-1.2032787462825028,-0.8531222908540408,-1.3326848094771206,-1.102506424636646,115,115,6
150,-1.1989664542554999,-0.8483971974865018,-1.3265075917139955,-1.2248526142035185,116,116,6
151,-1.1948750339616188,-0.8436359752037438,-1.32033037395087,-1.0930733391757168,117,117,6
152,-1.191009941945905,-0.838843128458138,-1.32033037395087,-1.0642248885116021,117,117,6
153,-1.1873763551850334,-0.8340231118453445,-1.32033037395087,-0.9871537581657022,117,117,6
154,-1.1839791648020108,-0.8291803252056784,-1.32033037395087,-0.9871537581657022,117,117,6
155,-1.1808229701216457,-0.8243191088155924,-1.32033037395087,-0.9871537581657022,117,117,6
156,-1.1779120730738446,-0.8194437386748313,-1.2375166120198642,-0.9871537581657022,117,117,6
157,-1.175250472951383,-0.8145584218946977,-1.2375166120198642,-0.9916895302465627,117,116,6
158,-1.1728418615283862,-0.8096672921927366,-1.2338850563399577,-0.9870202110245976,118,117,6
159,-1.170689618545314,-0.8047744054990168,-1.2302535006600512,-0.9363572054658297,119,118,6
160,-1.1687968075658282,-0.7998837356790448,-1.3017987206614945,-0.8996386719669635,120,119,6
161,-1.1671661722104667,-0.7949991703782086,-1.2266219449801445,-0.8695800378728492,120,120,6
162,-1.1658001327716156,-0.7901245069924883,-1.2266219449801445,-0.8528360488226382,120,120,6
163,-1.1647007832138088,-0.785263448770025,-1.3017987206614945,-0.8528360488226382,120,120,6
164,-1.1638698885629357,-0.7804196010479701,-1.2266219449801445,-0.8528360488226382,120,120,6
165,-1.163308882687479,-0.775596467628874,-1.2074625525449232,-0.8528360488226382,120,120,6
166,-1.163018866474434,-0.7707974473007009,-1.0890616633252368,-0.8528360488226382,120,120,6
167,-1.1630006064021041,-0.7660258305043801,-1.0865060644931792,-0.8695800378728492,120,120,6
168,-1.163254533511488,-0.7612847961526251,-1.0865060644931792,-0.8695800378728492,120,120,6
169,-1.1637807427775129,-0.7565774086035597,-1.0865060644931792,-0.8528360488226382,120,120,6
170,-1.1645789928808843,-0.751906614792512,-1.0739534612644868,-0.8045510462227787,120,120,6
171,-1.1656487063808632,-0.7472752415251347,-1.0739534612644868,-0.8045510462227787,120,120,6
172,-1.1669889702887932,-0.7426859929348163,-1.0865060644931792,-0.5245119785709419,120,120,6
173,-1.1685985370417364,-0.7381414481071489,-1.0775864747826196,-0.5245119785709419,120,120,6
174,-1.1704758258751,-0.733644058874012,-1.0775864747826196,-0.5245119785709419,120,120,6
175,-1.1726189245926648,-0.7291961477796283,-1.160119785968865,-0.43977303025915543,120,120,6
176,-1.1750255917319552,-0.7247999062207358,-1.2288815716786674,-0.41136399932623186,120,120,6
177,-1.1776932591224283,-0.7204573927628082,-1.2288815716786674,-0.41136399932623186,120,120,6
178,-1.180619034833485,-0.7161705316340469,-1.2288815716786674,-0.3798032732413281,120,120,6
179,-1.1837997065088572,-0.7119411113986461,-1.2288815716786674,-0.3467790190721239,120,120,6
180,-1.1872317450834626,-0.7077707838106155,-1.1591523626908522,-0.3138986578134747,120,120,6
181,-1.1909113088783596,-0.7036610628492335,-1.1591523626908522,-0.4075817941818584,120,120,6
182,-1.1948342480690053,-0.6996133239369733,-1.2288815716786674,-0.3467790190721239,120,120,6
183,-1.1989961095215564,-0.6956288033405307,-1.1591523626908522,-0.3467790190721239,120,120,6
184,-1.203392141991538,-0.6917085977553583,-1.1591523626908522,-0.3467790190721239,120,120,6
185,-1.2080173016787605,-0.6878536640738877,-1.1591523626908522,-0.3467790190721239,120,120,6
186,-1.2128662581319531,-0.6840648193374007,-1.2288815716786674,-0.3467790190721239,120,120,6
187,-1.2179334004961682,-0.6803427408712895,-1.2288815716786674,-0.3138986578134747,120,120,6
188,-1.2232128440955967,-0.6766879666032206,-1.2288815716786674,-0.3138986578134747,120,120,6
189,-1.228698437344052,-0.6731008955634992,-1.1392521270976619,-0.3138986578134747,120,120,6
190,-1.2343837689749766,-0.6695817885667104,-1.1392521270976619,-0.3467790190721239,120,120,6
191,-1.2402621755824645,-0.6661307690734929,-1.1392521270976619,-0.3467790190721239,120,120,6
192,-1.246326749464404,-0.662747824231088,-1.1392521270976619,-0.3467790190721239,120,120,6
193,-1.2525703467585108,-0.6594328060910828,-1.1392521270976619,-0.40299585431079543,120,120,6
194,-1.2589855958616558,-0.6561854330025624,-1.2290638653349388,-0.467891706854405,120,120,6
195,-1.2655649061225627,-0.6530052911786679,-1.2290638653349388,-0.4953356812562023,120,120,6
196,-1.2723004767976374,-0.6498918364343489,-1.2550779396729907,-0.4953356812562023,120,120,6
197,-1.279184306259358,-0.6468443960928958,-1.2550779396729907,-0.4953356812562023,120,120,6
198,-1.2862082014463763,-0.6438621710586302,-1.2550779396729907,-0.5297326943329347,120,120,6
199,-1.2933637875441821,-0.6409442380529337,-1.2550779396729907,-0.5297326943329347,120,120,6
200,-1.300642517884912,-0.6380895520105982,-1.2550779396729907,-0.49256011049444104,120,120,6
201,-1.3080356840546306,-0.6352969486332877,-1.2550779396729907,-0.467891706854405,120,120,6
202,-1.3155344261961524,-0.6325651470967101,-1.263084566962632,-0.5283655808954513,120,120,6
203,-1.3231297434952558,-0.6298927529079192,-1.263084566962632,-0.5283655808954513,120,120,6
204,-1.330812504837912,-0.6272782609089766,-1.263084566962632,-0.5283655808954513,120,120,6
205,-1.3385734596259558,-0.6247200584230366,-1.495480106395222,-0.5575832540133202,120,120,6
206,-1.3464032487384314,-0.6222164285387372,-1.495480106395222,-0.5575832540133202,120,120,6
207,-1.3542924156256775,-0.6197655535286221,-1.5181794536243531,-0.6056294424862654,120,120,6
208,-1.3622314175230554,-0.617365518397151,-1.5766210292623681,-0.6320360982324308,120,120,6
209,-1.370210636771084,-0.6150143145537021,-1.5766210292623681,-0.6320360982324308,120,120,6
210,-1.3782203922286134,-0.6127098436058203,-1.5181794536243531,-0.6320360982324308,120,120,6
211,-1.3862509507655676,-0.6104499212678194,-1.5181794536243531,-0.6320360982324308,120,120,6
212,-1.3942925388216798,-0.6082322813797106,-1.5181794536243531,-0.6423344539431565,120,120,6
213,-1.4023353540175725,-0.6060545800312891,-1.5181794536243531,-0.6320360982324308,120,120,6
214,-1.4103695768044693,-0.6039143997860954,-1.5766210292623681,-0.6423344539431565,120,120,6
215,-1.41838538213878,-0.6018092539998374,-1.6993586651843922,-0.6423344539431565,120,120,6
