capacity_kwh,power_kw,grid_import_kwh_yr,pv_export_kwh_yr,night_grid_import_kwh_yr,nonev_night_grid_import_kwh_yr,night_self_sufficiency_pct,nonev_night_self_sufficiency_pct,cycles_per_yr,marginal_kwh_per_kwh,nonev_marginal_kwh_per_kwh
17.5,3.0,1982.1916312515118,2591.536124104465,1342.023264944871,1047.1434942691376,38.50416776037545,43.81526497684044,87.17789394275889,7.420470421280243,3.44300978835372
18.0,3.0,1978.7749782961323,2587.7398430429344,1340.0529600282698,1045.629163034918,38.59445348326654,43.8965167819632,84.96719028110071,6.833305910759009,3.0286624684390517
18.5,3.0,1975.485298687751,2584.0846434780656,1338.1281509979935,1044.1603276870228,38.68265443798252,43.97532749440691,82.8683580878206,6.579359216762441,2.93767069579053
19.0,3.0,1972.3682537231698,2580.621260184088,1336.5187180152757,1042.907488588596,38.75640384553112,44.04254887634453,80.86989515361371,6.234089929162565,2.5056781968537507
19.5,3.0,1969.483162237498,2577.415602977787,1334.8215985679171,1041.514351596158,38.834171329561784,44.11729797539301,78.96070077563918,5.770182971343729,2.786273984876061
20.0,3.0,1966.7384120517863,2574.3658805492196,1333.1055966380309,1040.037184954164,38.91280406981274,44.1965557054173,77.13916937767668,5.489500371423219,2.95433328398758
20.5,3.0,1964.009461547255,2571.333713321961,1331.4518173115646,1038.611392468888,38.988585569789876,44.27305694275647,75.40563681857518,5.45790100906288,2.851584970552267
21.0,3.0,1961.4792258415573,2568.5223403156306,1330.0256975979253,1037.4013122890535,39.053934972407866,44.33798408467433,73.74413941843436,5.060471411395156,2.4201603596688983
21.5,3.0,1959.2174960993098,2566.0093072686896,1328.8065106841173,1036.3341166027058,39.109802047054565,44.39524472486688,72.14604468995647,4.523459484495106,2.134391372695518
22.0,3.0,1957.0721596011565,2563.6256000485164,1327.4508019807927,1035.1303991268414,39.17192499019808,44.45983047437906,70.61471218428338,4.290672996306512,2.4074349517286464
22.5,3.0,1954.9442824167113,2561.2612920658007,1325.9985736413032,1033.8301620148122,39.2384707742181,44.52959500809048,69.15057671275345,4.255754368890393,2.6004742240584164
23.0,3.0,1952.8164052322654,2558.896984083085,1324.5050786807474,1032.4886582817169,39.30690752784535,44.60157371224044,67.750099305203,4.255754368891758,2.683007466190702
23.5,3.0,1950.7937350913646,2556.649572815419,1322.9965590056659,1031.1321298340963,39.376032762326886,44.674358571047335,66.40424235265267,4.0453402818016,2.7130568952411522
24.0,3.0,1948.842723819323,2554.4817825131513,1321.499984871881,1029.7875469277717,39.44461061359773,44.74650248897451,65.11114523290024,3.902022544083138,2.6891658126492075
24.5,3.0,1947.0001229205134,2552.4344481811418,1320.1433145057892,1028.5828677891402,39.50677762322932,44.81113983673281,63.86591101720881,3.6852017976193565,2.4093582772629816
25.0,3.0,1945.3815580159883,2550.6360427316718,1319.0731200746714,1027.6646645854828,39.55581738201659,44.86040624957618,62.660529014843476,3.2371298090502023,1.8364064073148256
25.5,3.0,1943.9971660594513,2549.097829446631,1318.0862389553536,1026.8297746936255,39.60103945628257,44.90520246671762,61.492213280632484,2.768783913074003,1.6697797837146027
26.0,3.0,1942.6874997305194,2547.642644636709,1317.1453424675612,1026.0408694332937,39.6441543664928,44.947531367439154,60.36563936407892,2.6193326578636515,1.577810520663661
26.5,3.0,1941.3955742971061,2546.207171932915,1316.1167944396457,1025.1643126328386,39.691285752831085,44.99456323254252,59.28083381772997,2.5838508668266513,1.7531136009101829
27.0,3.0,1940.103648863692,2544.771699229122,1315.111869639569,1024.3113790602222,39.73733464671631,45.040327587697334,58.236206254579145,2.5838508668284703,1.7058671452327872
27.5,3.0,1938.8917598076544,2543.4251558335245,1314.2142138518248,1023.5657144999383,39.7784681286566,45.0803363982997,57.2263313552449,2.4237781120750697,1.4913291205677979
28.0,3.0,1937.7518256017024,2542.158562271354,1313.4482405221192,1022.9517323976933,39.81356749586878,45.1132797550721,56.249668065407306,2.2798684119038626,1.2279642044900356
28.5,3.0,1936.611891395749,2540.8919687091848,1312.668882031566,1022.3904131540088,39.849280214300364,45.14339747355329,55.30727366293246,2.279868411907046,1.1226384873689312
29.0,3.0,1935.4757371583714,2539.6295751120983,1311.7752670160257,1021.7247849796588,39.890228535032136,45.179111912696044,54.39723079278145,2.2723084747549365,1.3312563486999807
29.5,3.0,1934.4117985661483,2538.4474211207403,1310.9827121343458,1021.1192840652558,39.926545954645945,45.21160020930315,53.5153168468482,2.1278771844463336,1.2110018288060473
30.0,3.0,1933.4369735661112,2537.3642822318093,1310.2149141487703,1020.5034773071405,39.96172893347217,45.24464146842334,52.65949952903173,1.9496500000741435,1.2316135162304818
0.0,3.7,3355.243460849976,4117.149268102741,2182.299541399076,1863.7508815116798,-6.661338147750939e-14,-2.220446049250313e-14,,,
0.5,3.7,3179.8058001090026,3922.2185339461316,2163.5240185550297,1845.3587314510016,0.8603549827998491,0.9868352172560768,389.8614683131542,350.87532148194714,36.78430012135641
1.0,3.7,3056.4562935662725,3785.1635266762883,2119.4165111480133,1802.126951594735,2.8815031602282937,3.306446721407408,331.9857414263539,246.69901308546014,86.46355971253342
1.5,3.7,2944.835379970553,3661.140289347844,2062.0360968575783,1745.4934536240323,5.510858718523837,6.345130621305417,304.00598583657,223.24182719143937,113.26699594140518
2.0,3.7,2842.643925753558,3547.594229106641,1997.37703740672,1681.410901603584,8.473745262018461,9.783495300627331,284.77751949802405,204.38290843398954,128.1651040408965
2.5,3.7,2748.611165762373,3443.1133846721295,1929.9015337236028,1614.5804225522656,11.565690359521374,13.369300663043159,269.61435337224935,188.06551998237046,133.66095810263687
3.0,3.7,2661.9064766264373,3346.7748411877474,1863.0967115531644,1548.4507417830011,14.626902668057628,16.917504525762574,256.79147563831236,173.409378271871,132.259361538529
3.5,3.7,2581.7666397484263,3257.7305779899934,1796.843939376541,1482.9805890170016,17.66281826625038,20.430321255480088,245.5481971750781,160.27967375602202,130.940305531999
4.0,3.7,2508.4009878622505,3176.213187005366,1735.1281678941925,1422.0247736719537,20.4908338668394,23.700920129488757,235.23402027434085,146.73130377235157,121.91163069009599
4.5,3.7,2442.3537261821984,3102.827340694118,1678.8466761228217,1366.503238037872,23.069833252748108,26.679941423850185,225.4048727574627,132.09452336010418,111.0430712681632
5.0,3.7,2382.9250348458113,3036.795461431489,1628.4153337714874,1316.8318518238516,25.380759933280807,29.34507154970327,216.0707613342417,118.85738267277429,99.34277242804092
5.5,3.7,2330.062438614881,2978.0592433971065,1583.746663478553,1272.9231376682148,27.427622403145858,31.701004125843646,207.1072772191906,105.72519246186039,87.81742831127349
6.0,3.7,2282.528316058787,2925.243551668137,1544.5259747970845,1234.3771443788764,29.22484079307981,33.769198629288965,198.65095273909293,95.06824511218838,77.09198657867682
6.5,3.7,2240.7014937948265,2878.769304708187,1511.7409373349983,1202.2000718266315,30.72715689772728,35.49566716494146,190.5199943683841,83.65364452792073,64.35414510448982
