capacity_kwh,power_kw,bound,grid_import_kwh_yr,pv_export_kwh_yr,night_grid_import_kwh_yr,nonev_night_grid_import_kwh_yr,night_self_sufficiency_pct,nonev_night_self_sufficiency_pct,cycles_per_yr,marginal_kwh_per_kwh,nonev_marginal_kwh_per_kwh
18.5,3.0,charge_first,2851.0660440895176,2217.394823785095,1780.7057792196083,1251.4384975696933,33.79230824841646,41.251683587515096,92.07483641716362,8.31486991807651,4.399700724523427
19.0,3.0,charge_first,2847.388686102879,2213.3088704666125,1778.3158227519807,1249.4544954016044,33.88116824031122,41.344821833909386,89.85554615059742,7.354715973277052,3.968004336177728
19.5,3.0,charge_first,2843.8898315510746,2209.4212542979367,1776.2566326351716,1247.8501704296862,33.957730144081374,41.420136275059896,87.74042982834489,6.9977091036089405,3.2086499438364626
20.0,3.0,charge_first,2840.7186723280565,2205.8977440501385,1774.3237494877753,1246.3898709469001,34.02959588018898,41.48868949300733,85.71382219963736,6.342318446036188,2.920598965572026
20.5,3.0,charge_first,2837.6592987979084,2202.4984401277575,1772.588000933976,1245.1267060577131,34.094132035768,41.547988300527805,83.78033352109138,6.1187470602963,2.52632977837402
21.0,3.0,charge_first,2834.689856363806,2199.1990596454216,1770.9604292182707,1243.9168496631994,34.15464611266634,41.604784560525076,81.93440790763701,5.9388848682046955,2.4197127890274714
21.5,3.0,charge_first,2831.8708476325114,2196.0668277217596,1769.3268217185528,1242.7149815909115,34.21538460357628,41.6612058116964,80.16697412429151,5.638017462589232,2.4037361445757597
22.0,3.0,charge_first,2829.2162645802982,2193.117290997077,1767.7192909709668,1241.5376920845247,34.27515354545281,41.71647323120173,78.47201098281663,5.309166104426367,2.3545790127736836
22.5,3.0,charge_first,2826.617173262952,2190.2294117555803,1766.1444149689037,1240.3678877949856,34.33370836461965,41.77138925997662,76.8497834319633,5.198182634692785,2.339608579078231
23.0,3.0,charge_first,2824.071005244333,2187.4003361793393,1764.604143951878,1239.232688490483,34.39097655002074,41.82468077055557,75.29566539482074,5.092336037238056,2.270398609005042
23.5,3.0,charge_first,2821.653675007771,2184.71441369427,1763.3827180557498,1238.3822723494159,34.436389885661,41.864603241084254,73.80190903083512,4.834660473123222,1.7008322821343427
24.0,3.0,charge_first,2819.435715514254,2182.250014257028,1762.1800376693864,1237.5171517234883,34.481106252185576,41.905216008204384,72.36164818451373,4.435918987034711,1.7302412518552046
24.5,3.0,charge_first,2817.3454823709503,2179.927532986694,1760.965808781472,1236.6404825960099,34.52625199881315,41.94637091544927,70.97468578948285,4.180466286607043,1.753338254956816
25.0,3.0,charge_first,2815.3201238083357,2177.6771345837883,1759.6745109393023,1235.6867445142757,34.57426321464205,41.99114379618546,69.64047032896124,4.050717125229312,1.9074761634683455
25.5,3.0,charge_first,2813.294765245719,2175.42673618088,1758.3732063403836,1234.722999675793,34.62264648759232,42.0363864404081,68.35857704336208,4.05071712523295,1.9274896769652514
26.0,3.0,charge_first,2811.3505233375886,2173.2664673940726,1757.0226181677428,1233.7137882618435,34.6728621528982,42.0837634961635,67.12270327059008,3.888483816261214,2.0184228278990304
26.5,3.0,charge_first,2809.5277006312344,2171.241108831455,1755.6162686750224,1232.6979627894498,34.72515105699209,42.13145104644098,65.92864323693864,3.6456454127082907,2.0316509447875433
27.0,3.0,charge_first,2807.7048779248803,2169.215750268839,1754.27977198544,1231.6990258603034,34.77484279264179,42.178345770315616,64.77880764897796,3.6456454127082907,1.997873858292678
27.5,3.0,charge_first,2805.9879849980452,2167.3080914612437,1753.0030376407067,1230.8252248062083,34.82231252904137,42.21936603691859,63.66672953581322,3.433785853670088,1.7476021081902218
28.0,3.0,charge_first,2804.367698147953,2165.507772738917,1751.7201570960494,1229.9474159740746,34.87001078478128,42.26057444717608,62.590736690722345,3.240573700184541,1.7556176642674473
